RIC,Description,Currency,Type/Sub Type,Exchange,Comment
1598.T,NF RUS/NOMURA FI ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　Ｒ／Ｎファンダメンタル・インデックス上場投信
1599.T,DAIWA ETF JPX400 ETF,JPY,EQTY,TSE,ダイワ上場投信－ＪＰＸ日経４００
1605.T,INPEX ORD,JPY,EQTY,TSE,国際石油開発帝石
1610.T,DAIWA TPX ELEC ETF,JPY,EQTY,TSE,ダイワ上場投信－東証電気機器株価指数
1612.T,DAIWA TPX BANKS ETF,JPY,EQTY,TSE,ダイワ上場投信－東証銀行業株価指数
1613.T,TOPIX ELEC ETF,JPY,EQTY,TSE,東証電気機器株価指数連動型上場投資信託
1615.T,TOPIX BANKS ETF,JPY,EQTY,TSE,東証銀行業株価指数連動型上場投資信託
1617.T,NF TOPIX17 FOOD ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信
1618.T,NF TOPIX17 ENGY ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信
1619.T,NF TOPIX17 CNST ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信
1620.T,NF TOPIX17 CHEM ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信
1621.T,NF TOPIX17 PHAM ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信
1622.T,NF TOPIX17 ATMO ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信
1623.T,NF TOPIX17 STEL ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信
1624.T,NF TOPIX17 MACH ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信
1625.T,NF TOPIX17 ELEC ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信
1626.T,NF TOPIX17 ITSV ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信
1627.T,NF TOPIX17 PWGA ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信
1628.T,NF TOPIX17 TRAN ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信
1629.T,NF TOPIX17 TRAD ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信
